Title,Rating,Reviews
Just wow!,Best picture qualityREAD MORE,5
Mind-blowing purchase,Super cameraREAD MORE,5
Excellent,SuperREAD MORE,5
Must buy!,Slim and very handy worth for moneyREAD MORE,5
Wonderful,Good phoneREAD MORE,5
Just wow!,"1 month of usage, it's a value for moneyREAD MORE",5
Awesome,Camera could be better and facing heating issue otherwise phone is good smooth to handleREAD MORE,5
Worth the money,"Battery is not good, front camera is bad(literally) rear camera is good rest all is goodREAD MORE",4
Mind-blowing purchase,"Super display,super designCamera need to improve, beutiful UI,good size, motorola awesomeREAD MORE",5
Does the job,"Product looks fancy with ofcourse curve display but it is lagging on multi tasking. Some apps are taking time to start. Expectation was very high this time with Moto but I think Its my mistake. Overall phone is not Chinese which means it will work for longer period. Hope so. Compared with last phones I have of Moto, I was looking for complete satisfactionREAD MORE",3
Mind-blowing purchase,NiceREAD MORE,5
Horrible,"Display, camera,sound quality, design are good but heating problem and battery draining problem are there...READ MORE",1
Great product,Mobile hanging issues otherwise very good mobile design very good display.READ MORE,5
Perfect product!,Awesome Best quality productREAD MORE,5
Terrific,It's perfect phone for me 💖💖💖READ MORE,5
Wonderful,Super product... Night time camera should improveREAD MORE,5
Good choice,Loved it. Simply awesome phoneREAD MORE,4
Hated it!,Battery is very badREAD MORE,1
Awesome,Working nicelyREAD MORE,5
Highly recommended,NiceREAD MORE,5
Mind-blowing purchase,Nice 👍🙂READ MORE,5
Terrific,GoodREAD MORE,5
Simply awesome,Love this phoneREAD MORE,5
Highly recommended,"Though it's only been a few days, as I ordered this device on 09/02/24 and received it right on my marriage anniversary day on 11/02, but what I liked about this phone is it's built, curved display, sharpness of display and that nice smell this phone has. A perfect gift for my wife 💝💝READ MORE",5
Good choice,Best performance of this mobile nice look and amazing pictures qualityREAD MORE,5
Not good,Phone is looking good but while charging it is very heat camera poor performance battery drain very fast dear customers dis is genuine  feedback don't buy thisREAD MORE,2
Mind-blowing purchase,FantasticREAD MORE,5
Worth the money,Good 👍👍READ MORE,4
Awesome,Really nice in this price awesome performance display and camera ohh my god fantastic fabulousREAD MORE,5
Must buy!,Very nice productREAD MORE,5
Classy product,"Really good phone. The camera quality is soo good, fast charging. Loved itREAD MORE",5
Terrific,Wow| Mind blowing phoneREAD MORE,5
Good choice,NiceREAD MORE,4
Wonderful,Nice phoneREAD MORE,5
Just wow!,Writing this review after using the edge Neo for a week it's a top notch mobile best features with the budget1.Fast charging2.dolby Atmos speakers3.good clarity camera4.edge displays and good clarity on HD movies5.screen sharing your mobile screen to desktop or laptopsREAD MORE,5
Decent product,Display good 👍READ MORE,3
Excellent,Awesome product quality is goodREAD MORE,5
Wonderful,Overall it is a decent phone.READ MORE,5
Simply awesome,"What can we say about this phone, it is amazing. Its display performance is very good and gets charged 100% in 30 minutes. This is a very light phone and the video quality looks high.READ MORE",5
Classy product,EXCELLENT Minds BLOWINGREAD MORE,5
Terrific,"Mobile is decent at this price. Camera , performance all is good except battery backup. Battery you have to charge twice atleast in a day. Overall mobile is good.READ MORE",5
Good choice,GoodREAD MORE,4
Great product,Amazing product go for it 👍READ MORE,5
Wonderful,"A small heating issue,but overall very niceREAD MORE",4
Pretty good,Value for money.READ MORE,4
Best in the market!,Thank you flipkart for fast deliveryREAD MORE,5
Highly recommended,Awsome performance of this Just love it Thank you for one day delivery Thank you flipkartREAD MORE,5
Worst experience ever!,Overheating wrost iteREAD MORE,1
Highly recommended,Very good productREAD MORE,5
Utterly Disappointed,Worst camera no app lock chaina mobile camera clarityREAD MORE,1
Does the job,Phone very high heatingREAD MORE,3
Classy product,Mobile futures so good but battery drain was so fastREAD MORE,5
Great product,Awesome all is goodREAD MORE,5
Hated it!,I am using this mobile 10 days.this is my honest review.camera :not good (2 star ⭐ ⭐)battery; very fast drain.(1 star⭐)display :indoor ok but outdoor  manage but not good.(4 star ⭐ ⭐ ⭐ ⭐)proformance :just ok.(2 star.⭐⭐)Network:(bad my area)Battery very badCharger very very badREAD MORE,1
Highly recommended,Full Paisa vasulllllREAD MORE,5
Worth every penny,Very nice phone camera so awesomeREAD MORE,5
Great product,Very nice phoneREAD MORE,5
Poor quality of Power Button .,The product is overall very good. But after using it for a few days the power button somehow popped out from the mobile phone frame itself.READ MORE,4
Wonderful,GoodREAD MORE,5
Must buy!,Camera is good. Battery is just ok. Sometimes mobile get heated. Overall mobile is excellent.READ MORE,5
Very Good,Camera is awesome 😎But battery drain out very fast 🔋👎Otherwise it's the beast 😉READ MORE,4
Fabulous!,Moto is the bestREAD MORE,5
Did not meet expectations,Waste of moneyREAD MORE,1
Great product,Great productREAD MORE,5
Simply awesome,GoodREAD MORE,5
Fabulous!,Nice mobileREAD MORE,5
Terrific,Good product!! Look wise its attractive. Its working wise awesome. I would definitely recommend it to othersREAD MORE,5
Perfect product!,TopREAD MORE,5
Highly recommended,Super product.READ MORE,5
Nice product,Excellent... Great value for money phoneREAD MORE,4
Best in the market!,Best profermeinsREAD MORE,5
Highly recommended,GoodREAD MORE,5
Terrific purchase,"Nice phone, must buy.. Battery is too good, camara also goodREAD MORE",5
Wonderful,Excellent Product.. Please go for itREAD MORE,5
Decent product,Camera quality is good but gameing not so good pubg is not working batterREAD MORE,3
Very Good,Bestphone in this range only battery Problem overall Excellent 👍READ MORE,4
Does the job,OkREAD MORE,3
Value-for-money,Value for money phn ....😊READ MORE,4
Fabulous!,Super looking smart phoneREAD MORE,5
Worthless,Network issue in this phoneREAD MORE,1
Awesome,Super mobile 🥰🥰🥰🥰READ MORE,5
Awesome,Overall gd phoneREAD MORE,5
Must buy!,This phone is really very good. I have been using it for more than a month. Looks great with good features and cool design. The battery needs some improvement.READ MORE,5
Mind-blowing purchase,Overall it's an amazing productREAD MORE,5
Slightly disappointed,Mobile battery hiting issueREAD MORE,2
Worst experience ever!,Keypad not workingREAD MORE,1
Classy product,"The camera is very good, the look is also very cuteREAD MORE",5
Worth the money,Honestly amazed by its performance and its UI adds more value to it. Definitely worth your money.READ MORE,4
Awesome,Everything working superb if you want best under 25k go for it without any doubtREAD MORE,5
Pretty good,Good display productREAD MORE,4
Classy product,Simply superb in hand feelingREAD MORE,5
Classy product,Worth buyingREAD MORE,5
Fabulous!,Every thing is oky but camera very 😞READ MORE,5
Terrific,Very smart phone motoREAD MORE,5
Best in the market!,Superrrb productsREAD MORE,5
Value-for-money,A good smartphones at a price of 21-22k. Performance is very good. You might face issues with curved screen protector as it doesn't stick properly over the screen. Except this everything is fineREAD MORE,4
Awesome,GoodREAD MORE,5
Great product,superbREAD MORE,5
Simply awesome,GoodREAD MORE,5
Super!,I have been using it for more than a month now. Totally satisfied with the performance. Battery backup is very good. Not faced any heating issues. Camera quality is good Just colour are very bright. Overall good option in the price segment.READ MORE,5
Best in the market!,NiceREAD MORE,5
Fair,The camera is not up to the mark!READ MORE,3
Very poor,The product is very bad not satisfiedThe sound button is too hardThe phone was heating issueREAD MORE,1
Worth every penny,AwesomeREAD MORE,5
Worth every penny,Good productREAD MORE,5
Excellent,"The overall rating of this phone is very good, little more expected in processing.READ MORE",5
Wonderful,Very very good product thanks for FlipkartREAD MORE,5
Great product,"Motorola is working slowly, building market values after providing such a nice product. Much appreciated. You love the phone design, which looks fantastic. Light weight .READ MORE",5
Fair,Display basedREAD MORE,3
Great product,Great purchaseREAD MORE,5
Highly recommended,Camera quality goodREAD MORE,5
Must buy!,It is a great phone with phenomenal features for this price.READ MORE,5
Wonderful,Osm design and build quality.READ MORE,5
Worth every penny,AwesomeREAD MORE,5
Very Good,Nice Phone I just Love It 🤩READ MORE,5
Terrible product,Battery getting bad day by dayREAD MORE,1
Excellent,AwesomeREAD MORE,5
Simply awesome,Best moto product for me nowREAD MORE,5
Great product,Amazing product go for it 👍READ MORE,5
Wonderful,"A small heating issue,but overall very niceREAD MORE",4
Pretty good,Value for money.READ MORE,4
Best in the market!,Thank you flipkart for fast deliveryREAD MORE,5
Highly recommended,Awsome performance of this Just love it Thank you for one day delivery Thank you flipkartREAD MORE,5
Worst experience ever!,Overheating wrost iteREAD MORE,1
Highly recommended,Very good productREAD MORE,5
Utterly Disappointed,Worst camera no app lock chaina mobile camera clarityREAD MORE,1
Does the job,Phone very high heatingREAD MORE,3
Classy product,Mobile futures so good but battery drain was so fastREAD MORE,5
Good choice,Nice phoneREAD MORE,4
Delightful,NiceREAD MORE,4
Perfect product!,"Good phone at this price. The best part i like about this phone is its camera portrait. Moreover other functions are good. Some bugs are there, but not annoying .READ MORE",5
Must buy!,PaisaVasool Mobile phone!!!READ MORE,5
Just okay,"User interface is not good,, I'm struggling with it. I'm very comfortable with Samsung user interface maybe this could be the reason. But still normal Android user will suffer with Motorola...READ MORE",3
Really Nice,Best phone under this price range 🙌READ MORE,4
Mind-blowing purchase,ExcellentREAD MORE,5
Unsatisfactory,The side button broke alreadyREAD MORE,1
Excellent,Really unpredictable worth of itCamera levels ultimateEverything is good 👍READ MORE,5
Super!,goodREAD MORE,5
Terrific purchase,"Nice phone, must buy.. Battery is too good, camara also goodREAD MORE",5
Wonderful,Excellent Product.. Please go for itREAD MORE,5
Decent product,Camera quality is good but gameing not so good pubg is not working batterREAD MORE,3
Very Good,Bestphone in this range only battery Problem overall Excellent 👍READ MORE,4
Does the job,OkREAD MORE,3
Value-for-money,Value for money phn ....😊READ MORE,4
Fabulous!,Super looking smart phoneREAD MORE,5
Awesome,Super mobile 🥰🥰🥰🥰READ MORE,5
Awesome,Overall gd phoneREAD MORE,5
Very Good,"Using this phone around 20 days, great design and display and camera is nice but battery need to charge 2 times daily in normal use only but charging is very fast overall it's very good phone for normal use personsREAD MORE",4
Really Nice,Back camera is good bt front needs some updatesREAD MORE,4
Classy product,"Great handset at this price range.. performance is flawless and design is killing.. there is no heating issue till now.. battery backup could have been better, but not bad.. camera is decent.. overall best phone in this segment.. go for it 👍READ MORE",5
Brilliant,Writing this review after 10 days of use. In the simple words the hype for this phone is for real. Here are some key points of this phone as per my usageThe display of this phone is quite amazing as it is a p oled display which supports up to 144 hertz.The battery of this phone is good as it last throughout a day on easy to moderate usage but if you are heavy user you need to charge it twice a day but thanks to 68 watt charger which charges it from 0 to 100% in just 45 minutes.The performa...READ MORE,5
Simply awesome,Very goodREAD MORE,5
Simply awesome,Too goodREAD MORE,5
Great product,Very niceREAD MORE,5
Super!,Very goodREAD MORE,5
Great product,Brilliant mobile 👍👍Smooth performance👍👍Light weight👍👍Curved experience👍👍Crispy display 👍👍READ MORE,5
Really Nice,After 7 days usage 1.display 👍2.call quality 👍3.Design and weight ultimate......4.battery life normal usage upto 1 day battery life but 5g use fast battery darain with 6 hours of 🔋 life.....5.os and software very super ....6.camera rear camera ok and front camera normal.READ MORE,4
Brilliant,Very nice cameraREAD MORE,5
Delightful,"Performance is average, need pro features in camera app over all good phoneREAD MORE",4
Super!,Fantastic fabulousREAD MORE,5
Fabulous!,BestREAD MORE,5
Wonderful,It's awesome 😍READ MORE,5
Just wow!,Looking beautiful and camera quality is superbREAD MORE,5
Highly recommended,GoodREAD MORE,5
Just wow!,Best phone at this priceREAD MORE,5
Hated it!,Its not a phone it is a heaterREAD MORE,1
Delightful,Nice productREAD MORE,4
Good choice,Best in segmentREAD MORE,4
Best in the market!,Such Wonderful Mobile I am Ever seen. I love it moreeeeeeeeeeeeREAD MORE,4
Nice,Nice and good looking phoneREAD MORE,3
Worth the money,The best mobile of this yearREAD MORE,4
Brilliant,Good 👍READ MORE,5
Highly recommended,Really a good mobile for this priceEdge design is really awesomeBattery stands for 1 full day not bad and also turbo charging.Camera is goodOver all mobile performance is nice.READ MORE,5
Wonderful,Totally good phoneREAD MORE,5
Just okay,Phone is much better but battery 🔋 low. AverageREAD MORE,3
Value-for-money,Good phone but Phone is heat ant type of searchREAD MORE,4
Worth every penny,Nice phoneREAD MORE,5
Fabulous!,Nice productREAD MORE,5
Brilliant,Altogether it provides a fantastic performance and a different feeling comparing with other models.  I never expected such a performance from this product.READ MORE,5
Fabulous!,Writing the review after 2to3 months use very good phone performance was good only problem is when put charge little waming not heting that is common problem in every fast charge phone battery drain little that's it but every thing workings fine this is fentastic phREAD MORE,5
Awesome,Very good phone. This price range.READ MORE,5
Wonderful,Great phone. Delivers what it promises. It's just that it has a rebranded 2 year old processor.READ MORE,4
Value-for-money,"Product is good, nice looking, good camera quality everything is good but battery backup is avarage.READ MORE",4
Good,"Selfi camera is major disappointed,  all other are goodREAD MORE",3
Brilliant,"The product is awesome, display quality,camera ,daily usage it's all awesome I'm in love with this device I will upload pictures soon..READ MORE",5
Classy product,Nice DeviceREAD MORE,5
Fabulous!,Best product of this price rangeREAD MORE,5
Must buy!,Fantastic phone display and all feachers very goodREAD MORE,5
Worth every penny,Perfect for this price rangeREAD MORE,5
Very Good,Best but small displayREAD MORE,4
Nice product,Fantastic look ❤️❤️READ MORE,4
Fabulous!,Good productREAD MORE,5
Just wow!,Nice quality and design is awesome 😎Thanks FlipkartREAD MORE,5
Value-for-money,"Good looking design with curvy display, its a good deal at this price rangeREAD MORE",4
Nice product,Good 👍READ MORE,4
Simply awesome,Best Smartphone in this price category and my genuine review Pros: 68w turbo charger          144hz curved full Hd+ display           Mdk dimensity 7030 process 2.5ghz            Awesome 50mp camera and 32 mp selfie camera           Vegan leather back finish and lightweight premium design           Good quality case included in the box Cons: protective film for display not included           Heating issue           Battery drains fast as compared to other devices of            5000...READ MORE,5
Value-for-money,GoodREAD MORE,4
Fair,I like phoneREAD MORE,3
Awesome,Good productLooking goodREAD MORE,5
Worth the money,Nice phoneREAD MORE,4
Very Good,"This is My third Moto mobile ( one Power - G60 - Edge 40 Neo )Good things: For the first time I loved unboxing it smelled great . The peach fuzz edition looked great ( similar to rose gold). The weight is less Bad:Flipkart charges for open box delivery but I received and opened it myself.Compared to Moto G60 , Edge 40 Neo seems to be small and the width is squeezed ( maybe because of the curved edge display).The mobile network coverage is bad even thoe it is 5G .. my Moto G60 better....READ MORE",4
Decent product,Colour is not good. Overall product is okREAD MORE,3
Terrific,Very nice productREAD MORE,5
Best in the market!,Verry good mobileREAD MORE,5
Waste of money!,Battery very very poor. Display outdoor visibility not clear. Don't buy this product anymore in future.READ MORE,1
Utterly Disappointed,Phone is getting hangedREAD MORE,1
Absolute rubbish!,Mobile is hanging network issueREAD MORE,1
Good choice,super 👍READ MORE,4
Very Good,Money for valuREAD MORE,4
Just okay,Nice product 😃READ MORE,3
Worth the money,Nyc product nd nyc camera desine very looking hard ❤️❤️❤️READ MORE,4
Wonderful,Superb Motorola Edge 40 Neo phoneREAD MORE,5
Very Good,NiceREAD MORE,4
Waste of money!,Camera quality very bad .plz don't buy this productREAD MORE,1
Terrific purchase,GoodREAD MORE,5
Very Good,"I recently got the Motorola Edge 40 Neo, and I must say, it's a fantastic budget option under 25k! The curved display and premium design give it a sleek look, and performance-wise, it's quite impressive. The 120Hz refresh rate adds to the smoothness, although I wish the battery life could keep up better with it. The only downsides I've noticed so far are the fast battery drain and occasional heating issues, but overall, I'm satisfied with my purchase.READ MORE",4
Must buy!,NichREAD MORE,5
Highly recommended,Smoothness mobileREAD MORE,5
Classy product,1. Clean Ui which is good 👍2. The battery is enough for single day use .3. The camera is not up to the mark it's struggling to the human face and has a reddish tone.4. The design is awesome 👍👍READ MORE,5
Terrific,Love this phoneREAD MORE,5
Excellent,Nice productREAD MORE,5
Nice product,Handset if pretty cool designed and nice performance on daily use .but don't go behind the spotify free offer because you have to pay for premium membership instead of showing free.READ MORE,4
Classy product,"Beautiful design and light weight,awesome and smooth display, a good camera that produces more eye cachy and social media friendly photos and battery are the main highlight of this smartphone. If you want performance sentric phone other mobiles are good at this price range but this smartphone has many other good features like IP68READ MORE",5
Very Good,I like the product design. Camera quality. And I didn't like this phone's battery performanceREAD MORE,4
Value-for-money,Very good qualityREAD MORE,4
Not good,Heating issue is high in normal usageREAD MORE,2
Terrific purchase,Best mobile Motorola edge 40neo super quality low cost best quality mobile Motorola is goodREAD MORE,5
Nice product,Go for itREAD MORE,4
Fabulous!,Good camera battery and good performance stylish designREAD MORE,5
Mind-blowing purchase,Very nice and superb performanceREAD MORE,5
Nice product,Value for money . But camera is avarageREAD MORE,4
Good,Heating problemREAD MORE,1
Bad quality,Fingerprint option disappeared within months... Very disappointed ☹️READ MORE,2
Best in the market!,Very good 😊READ MORE,5
Worth the money,Very niceREAD MORE,5
Value-for-money,Good mobileREAD MORE,4
Terrific,NiceREAD MORE,5
Great product,Jast okREAD MORE,5
Worthless,"Please do not buy this waste product. Battery issue  major concern, heating issue with in two dayREAD MORE",1
Highly recommended,good smart phone from moto this 2023 yearREAD MORE,5
Useless product,Pathetic.... mobile phone screen is not working.READ MORE,1
Terrific,Fantastic..READ MORE,5
Worth every penny,Best phone under 23k worth it.READ MORE,5
Value-for-money,Best phone under the budgetREAD MORE,4
Delightful,Its very goosREAD MORE,4
Worth the money,Good mobile good quality camera  and battery nice disine and better performanceREAD MORE,4
Does the job,GoodREAD MORE,3
Just wow!,Looking beautiful and camera quality is superbREAD MORE,5
Highly recommended,GoodREAD MORE,5
Just wow!,Best phone at this priceREAD MORE,5
Delightful,Nice productREAD MORE,4
Good choice,Best in segmentREAD MORE,4
Best in the market!,Such Wonderful Mobile I am Ever seen. I love it moreeeeeeeeeeeeREAD MORE,4
Nice,Nice and good looking phoneREAD MORE,3
Worth the money,The best mobile of this yearREAD MORE,4
Brilliant,Good 👍READ MORE,5
Wonderful,GoodREAD MORE,4
Value-for-money,good one in this rangeREAD MORE,4
Awesome,NiceREAD MORE,5
Excellent,NiceREAD MORE,5
Good quality product,Super productREAD MORE,4
Good quality product,Design is very fantastic loved itREAD MORE,4
Mind-blowing purchase,HappyREAD MORE,5
Unsatisfactory,Very bad 👎 phone moto s40 neo 😑READ MORE,1
Wonderful,GoodREAD MORE,4
Excellent,Very nice begat phoneREAD MORE,5
Good quality product,Nice night cameraREAD MORE,4
Great product,Awesome phone performance camera is goodREAD MORE,5
Great product,Beautiful mobileREAD MORE,5
Decent product,Product is good but battery backup is not up to the markREAD MORE,3
Does the job,Battery is disappointed other than battery this phone is goodREAD MORE,3
Brilliant,Good mobileREAD MORE,5
Wonderful,Fantastic phoneREAD MORE,5
Awesome,Good and superb.. light weight and small deviceREAD MORE,5
Classy product,After using 1 month review.1. Best camera in this range2. Display is also better3. Battery is also good i am charging one time in a day and last long nightREAD MORE,5
Must buy!,"Motorola edge Neo 40 is amazing piece, display, camera all amazing piece but battery some lowREAD MORE",5
Good choice,GoodREAD MORE,4
Best in the market!,Value of moneyREAD MORE,5
Wonderful,"It is a very nice mobile. The camera is the best, focus and clearly. Good picture quality.READ MORE",4
Excellent,ExcellentREAD MORE,5
Does the job,Good product ✅✅✅READ MORE,3
Delightful,"Light weight hand set, fantasy display, overall very goodREAD MORE",4
Must buy!,GoodREAD MORE,5
Great product,I am happy 😊😁😁😁😊READ MORE,5
Not recommended at all,DisappointedREAD MORE,1
Pretty good,Camera quality is quite good 👍🏼READ MORE,4
Value-for-money,Great Deal love to useREAD MORE,4
Worth every penny,This is good product under the budget all the specs are good. it will get little heat in continuous usage of mobile .Other than that best mobile.. Thanks FlipkartREAD MORE,5
Very Good,It's very light weight and beautiful design..I love itREAD MORE,4
Terrible product,"No one should take this mobile, the mobile gets very hot while charging and the charger also gets very hot Don't anyone take this mobile your money will be free😡🤬😡🥹🥲🥹🥲READ MORE",1
Value-for-money,"Reviewing this mobile after using it for 2months, and I must say this is the best 20-25 budget phone in the market.The phone is so light weighted with a beautiful curve display with Ip68 rating,easy to hold in one hand and the look is good with a good battery performance and the colours also look so natural in videos,back camera is a standout performer the colours look so beautiful and natural in pictures also but the front camera could have been so good but it looks fine in group pictures....READ MORE",4
Worth every penny,Fabulous 🤩READ MORE,5
Excellent,Nice phoneREAD MORE,5
Highly recommended,Good iam using since 1week no heat issue one day battery sound quality superbREAD MORE,5
Good choice,GoodREAD MORE,4
Best in the market!,"hiii am using edge 40 very nice phone, smooth , camera too good performance very good.i suggest everyone to buy this phone at this range.thank youREAD MORE",5
Worst experience ever!,Handset touch and flash light not working.READ MORE,1
Best in the market!,Awesome😊 I Love my new edge 40 neo 😍🥰READ MORE,5
Brilliant,NiceREAD MORE,5
Best in the market!,GoodREAD MORE,5
Perfect product!,SuperbREAD MORE,5
Wonderful,Very good 👍READ MORE,4
Must buy!,Nice! Camera quality owsm 😍😍😍READ MORE,5
Horrible,IP rating very very bad allover goodREAD MORE,1
Worth every penny,Very nice good mobile foneREAD MORE,5
Classy product,"Beautiful design and light weight,awesome and smooth display, a good camera that produces more eye cachy and social media friendly photos and battery are the main highlight of this smartphone. If you want performance sentric phone other mobiles are good at this price range but this smartphone has many other good features like IP68READ MORE",5
Very Good,I like the product design. Camera quality. And I didn't like this phone's battery performanceREAD MORE,4
Value-for-money,Very good qualityREAD MORE,4
Not good,Heating issue is high in normal usageREAD MORE,2
Terrific purchase,Best mobile Motorola edge 40neo super quality low cost best quality mobile Motorola is goodREAD MORE,5
Nice product,Go for itREAD MORE,4
Fabulous!,Good camera battery and good performance stylish designREAD MORE,5
Mind-blowing purchase,Very nice and superb performanceREAD MORE,5
Nice product,Value for money . But camera is avarageREAD MORE,4
Good,Heating problemREAD MORE,1
Fabulous!,Nice Mobile phoneREAD MORE,5
Simply awesome,Amazing phoneREAD MORE,5
Value-for-money,"every features are top notch expect the front camera ,average selfie regarding the mp.No other problem found ,really recommended if not a selfie person.READ MORE",4
Perfect product!,Superb phone awesome I loved itREAD MORE,5
Must buy!,Nice phone and osm camera 🤳READ MORE,5
Best in the market!,Very niceREAD MORE,5
Decent product,goodREAD MORE,3
Brilliant,SuperbREAD MORE,5
Really Nice,"On this price really  its best phone  bcoz flagsip types qulites like curved display , handyand thiny grip ,water resistance , various fingerprint types   On displays and more featuresREAD MORE",4
Good quality product,"I loved the sleek design of moto . Battery good. Performance and user interface with curved display best. Back cam is too good . Will give 4 out 5 . But slfie cam is not natural, disappointed.READ MORE",4
Bad quality,Battery not workingREAD MORE,5
Great product,"The product is very excellent, it's worth the money...READ MORE",5
Moderate,Not working as expectedREAD MORE,2
Terrific purchase,Excellent deviceREAD MORE,5
Nice product,GoodREAD MORE,4
Brilliant,Nice phone under this price rangeREAD MORE,5
Super!,Fab 🧡READ MORE,5
Terrific,GoodREAD MORE,5
Horrible,Mobile over heatingREAD MORE,1
Terrific,Product is amazingAnd camera is also awesomeAnd look is also fabulousAnd peach Fuzz colour is also very goodAnd Display quality is very good and smoothAnd battery is draining fast but normal used full one day in single charged.READ MORE,5
Just wow!,"Ultimate beast, be it in gaming, be it in long movie hours, calling quality, music quality, loudness with stereo speakers, literally a master piece in this price range. Just one thing is it has google dialer by default so you can't record calls without letting the other person know like xiaomi. But now a days every smartphones come with google dialer though. Over all 10/10READ MORE",5
Must buy!,"i am using the phone for last 4 days i have saw only one issue in this phone,when i plugged in a charge mode phone gets too heat up,this is a big con of this.I hope this problem will fix in an upcoming update.Rest the phone is very impressive 😍READ MORE",5
Delightful,Value for moneyREAD MORE,4
Fair,We are facing Battery heating issues with this mobileREAD MORE,3
Horrible,Is heats While Changing The PhoneAnd also sometimes using in indorREAD MORE,1
Delightful,Mobile very good design and Faster camera quality goodREAD MORE,4
Perfect product!,AwesomeREAD MORE,5
Perfect product!,It's very very goodREAD MORE,5
Wonderful,"Camera, Performance, display, Design, Features and Quality is excellent. Only battery performance is not that goodREAD MORE",5
Just okay,Pros processor display model Cons battery camera games draining batteryREAD MORE,3
Mind-blowing purchase,HappyREAD MORE,5
Unsatisfactory,Very bad 👎 phone moto s40 neo 😑READ MORE,1
Wonderful,GoodREAD MORE,4
Excellent,Very nice begat phoneREAD MORE,5
Good quality product,Nice night cameraREAD MORE,4
Great product,Awesome phone performance camera is goodREAD MORE,5
Great product,Beautiful mobileREAD MORE,5
Decent product,Product is good but battery backup is not up to the markREAD MORE,3
Does the job,Battery is disappointed other than battery this phone is goodREAD MORE,3
Brilliant,Good mobileREAD MORE,5
Very Good,Colour is absolutely brilliantREAD MORE,4
Best in the market!,NiceREAD MORE,5
Don't waste your money,Worste Phone Over heating.. please don't tek this phone Eny one ..READ MORE,1
Terrific,This device is overall very nice performance...READ MORE,5
Perfect product!,Best quality and best performationREAD MORE,5
Just wow!,"Great Display, is pleasing to use. Camera is great as well, horizon lock feature is very impressive. Battery backup is solid with fast charging.READ MORE",5
Does the job,Line on screen when unlock button pressREAD MORE,3
Mind-blowing purchase,Very smothREAD MORE,5
Best in the market!,Good 👍READ MORE,5
Nice,"Writing this review after using it for 12 days. I have read reviews about the battery backup that it doesn't last for even a single day and that was right. Even if you use the phone with basic settings i.e 60 Hz refresh rate, 4G connectivity, minimum apps and background activity turned off, the phone's battery will discharge before 10 PM. There is not a lot difference between PoLED display and AmoLED display. There is no app lock feature. So you have to download it from Play Store. Overall do...READ MORE",3
Excellent,"Need to improve gaming mode and enable bullet notification, best camera phone just clicks like dslr blur is awesome, smooth like butter 144hz is just lit, overpowered phone by Motorola ☄️READ MORE",5
Expected a better product,Phone volume button got broken by its own within 7 days. Poor quality materials used in phoneREAD MORE,2
Perfect product!,"Phone is outstanding, but battery will be the issue here you will only get 6-7 hours battery backupREAD MORE",5
Moderate,No regular updates Front camera boringNot for gamingREAD MORE,2
Excellent,AwesomeREAD MORE,5
Nice,"The product is good within this budget, good one hand handy phone. Battery power is not adequate and the processor is getting heated with little operation. Better to go with snapdragon instead of mediatek.Audio 3.2mm jack not available so ready with Bluetooth only.Camera produces extra contrast instead of natural pictureREAD MORE",3
Best in the market!,"Overall phone performance is good, battery can be improved.READ MORE",5
Classy product,"The product was very good this motorola phone has very good feature design and a good camera plus good battery , overall very good i am very happy to buy this phone ..READ MORE",5
Does the job,phone lag too much with heating issueREAD MORE,3
Classy product,Great ... So happy tho buyREAD MORE,5
Excellent,Nice phoneREAD MORE,5
Highly recommended,Good iam using since 1week no heat issue one day battery sound quality superbREAD MORE,5
Good choice,GoodREAD MORE,4
Best in the market!,"hiii am using edge 40 very nice phone, smooth , camera too good performance very good.i suggest everyone to buy this phone at this range.thank youREAD MORE",5
Worst experience ever!,Handset touch and flash light not working.READ MORE,1
Best in the market!,Awesome😊 I Love my new edge 40 neo 😍🥰READ MORE,5
Brilliant,NiceREAD MORE,5
Best in the market!,GoodREAD MORE,5
Perfect product!,SuperbREAD MORE,5
Wonderful,Very good 👍READ MORE,4
Good,Charge not stayREAD MORE,3
Worth the money,Everything spot on for the price...just get it..READ MORE,4
Must buy!,Good 👍READ MORE,5
Delightful,If you are a day to day user then go for it Only battery problem but everything is perfect just my typeREAD MORE,4
Worth the money,Good product 😍READ MORE,4
Unsatisfactory,Don't purchase phREAD MORE,1
Great product,Soothing sea colour Motorola edge 40 Neo.I have brought two phone.READ MORE,5
Worth the money,Overall goodREAD MORE,4
Just okay,NICE LOOKING SOUNDS SYSTEM AND CAMERA SETUP GORGEOUSREAD MORE,3
Perfect product!   SUPER  BEST OF VALUE,NICE PRICE VALUEREAD MORE,5
Mind-blowing purchase,"Product is to good, but selfie camera needs to be updated, pics are not so good when it was taken by the same. Battery Backup is average.READ MORE",5
Must buy!,Very niceREAD MORE,5
Just wow!,very nice product thanku Flipkart nd Motorola company also who made this beautiful productREAD MORE,5
Best in the market!,"Overall performance of the phone is good except battery performance. I use this phone normal i.e no gaming, no watching movie etc. Even though battery consumption is very fast.READ MORE",5
Really Nice,Good phone. Overall phone is goodREAD MORE,4
Don't waste your money,Very poor qualityREAD MORE,1
Wonderful,Well! I would like to say this phone is superb. Everyone should buy this.READ MORE,5
Utterly Disappointed,Money West don't buy my 4 year ol redmi note 8 cellphone battery backup mor than Motorola edge 40 neo thie fon is No battery backupREAD MORE,1
